,book_title,author,reader_review,rating,label
7728,L'effet papillon,Emma Scott,"Zelda est une jeune femme qui débarque à New-York dans le but de faire éditer son roman graphique. Malheureusement, les choses ne se passent pas comme elle m’espérait. Elle n’a pas d’endroit où loger et commence à être à court d’argent. Dans un resto, elle fait la connaissance du serveur, Beckett. En échangeant quelques mots, elle apprend qu’il a du mal à joindre les 2 bouts. Zelda lui propose alors un arrangement qui les dépannerait tous les 2 : vivre en colocation.",5.0,1
1768,Les Girofliers de Zanzibar,Shafi Adam,"Zanzibar est pour nous aujourd'hui synonyme d'eaux turquoise, de petit paradis dans l'océan Indien. A la croisée des cultures arabe, indienne et africaine, c'est avant tout un archipel à l'histoire riche et mouvementée, où les sultans ont fait fortune grâce au clou de girofle, mais aussi grâce au commerce d'esclaves.",3.0,0
6280,Le jardin de Badalpour,Kenizé Mourad,"Zahr (quel beau nom) nous entraîne dans son sillage aux confins de l'inde en passant par Paris après un détour au Liban. Mais plus qu'un voyage géographique, Kenizé Mourad nous emmène à la recherche de son père et de ses origines perdus. L'intromission dans la vie et les pensées de l'héroïne est si sincère que ce récit tient plus de l'autobiographie que du roman.",3.5,0
5400,Zadig ou la Destinée,Voltaire,"Zadig, un sage babylonien, proche du souverain, connaît des déboires amoureux: sa fiancée l'abandonne car il a failli devenir borgne et sa femme a conçut le projet de lui couper le nez.",5.0,1
9470,Armada,Ernest Cline,"Zack est un adolescent vivant seul avec sa mère étant donné que son père a tragiquement disparu lors d'un accident quand qu'il n'était encore qu'un nourrisson. Ne s'intéressant guère à l'école et à la vie réelle, il préfère s'échapper dans les jeux vidéos et notamment",2.0,-1
8455,"Durango, tome 18 : L'otage",Iko,Yves Swolts a beau nous dessiner la page de garde et la 4 éme ; ne faites pas comme moi feuilletez l'album pour apprécier ou pas le nouveau style de dessin.,2.0,-1
4963,Wahala,Thierry Bonneau,"Yves Haubert, décide de prendre un nouveau départ en partant travailler pour une ONG au Cameroun. Il a besoin de dépaysement et ne va pas être déçu par son voyage ! A peine arrivée il se fait agresser et voler tout son argent et ses papiers.",3.0,0
7527,Le cri du coeur,Yvanna Holonne,Yvanna a une plume très fluide et agréable à la lecture. Il n'y a aucun passage que j'ai eu plus de mal à comprendre. Le tout se lit merveilleusement bien et les pages défilent sans même que l’on s’en aperçoive.,3.5,0
8278,"Nos c(h)oeurs évanescents, tome 3",Yuhki Kamatani,"Yutaka rencontre Vladimir, le jeune chanteur russe. Et encore une fois, Yutaka se retrouve sous l'eau. J'aime beaucoup suivre la jeune Mariko, et j'ai hâte de suivre son évolution. Va-t-elle s'affirmer ?",4.0,1
8279,"Nos c(h)oeurs évanescents, tome 2",Yuhki Kamatani,"Yutaka intègre la troupe de l'opéra de la ville. Ils doivent interpréter le tour d'écrou, mais le jeune garçon a l'air de se noyer dans son personnage.",4.0,1
45,L'hôtel du cygne,Zhang Yueran,"Yu Ling est venue de son lointain Sishuan pour se mettre au service de riches pékinois. Mais alors que son travail de nounou auprès de Dada, le fils unique de la famille, commence à la lasser, et qu'elle envisage avec son petit ami de kidnapper l'enfant contre rançon, ses employeurs sont arrêtés pour corruption. Commence alors pour la jeune femme et Dada une vie hors du temps où, libérés des contraintes, ces deux êtres découvrent l'un avec l'autre la tendresse qui leur a manqué. L'hôtel du Cygne, une tente dressée dans l'immense salon familial par Dada, pour accueillir ceux qui comme lui n'ont pas d'amis, participant à l'éclosion de cet amour aussi inattendu qu'essentiel.",4.0,1
251,L'hôtel du cygne,Zhang Yueran,"Yu Ling , Sichuanaise, est montée à la capitale, Pékin , et est nourrice dans une famille d'ultra riche.",4.0,1
189,Deux personnes seules au monde,Kim Young-Ha,Young-ha Kim est un talentueux écrivain coréen né en 1968. Les trois nouvelles ont en commun la thématique de la perte et ses conséquences. Elles sont aussi magistralement construites avec des méandres surprenants et des fins toujours imprévisibles. Mais le ton des trois récits est très différent.,3.5,0
4932,"Yona, princesse de l'aube, tome 17",Kusanagi Mizuho,"Yona et ses compagnons vont ici faire un petit tour dans l'empire de Kai. Le début est un peu long et sur le coup il est difficile de trouver l'intérêt de cet arc, pourtant il est particulièrement intéressant.",5.0,1
1780,"Yggdrasill, la religion des anciens Scandinaves",Régis Boyer,"Yggdrasil, c'est l'arbre pivot du monde dans la religion des anciens scandinaves. Dans cet ouvrage, Boyer nous offre une explication sur l'univers religieux de ce peuple. Il commence son ouvrage par le rpoblème des sources avant de nous angager sur la voie des concepts : Soleil, Terre et eau, fodateurs d'une vision cosmogonique du monde. Vient ensuite une périodisation allant de la préhistoire jusqu'à l'époque de vikings au cours de laquelle nous parcourons avec régis Boyer les figures mythologiques, légendaires et religieuses des anciens scandinaves . L'ouvrage se conlut avec une visions des Dieux et des principaus évènements liés à la religion des scandinaves. C'est tout un pan de l'histoire cutturelle du Nord qui s'éclaire au travers de cet ouvrage bien écrit et passionnant.",4.0,1
6989,Mort et déterré,Jocelyn Boisvert,"Yan Faucher,14ans,personnage principal du livre se fait renverser par un poids lourd . Il est désormais croupit au fond de son cercueil, le voila transformer en zombie, Yan veut a tout prix retrouver sa famille pour les aider a retrouver la joie de vivre.",4.5,1
7608,"Lovely Biker, tome 1 : Yale",Lydasa,"Yale est le fils du président des Dragon Skull, un club de bikers. Par le passé, c’était sa mère qui en était la présidente. Une première pour un club de ce genre… Malheureusement, arraché bien trop aux siens et à son club, c’est son époux, Anton qui a repris le flambeau. Ce dernier, malgré le désir de son fils, a toujours refusé que celui-ci fasse partie de cette « famille ». Parce que oui, un club de bikers, c’est avant tout une famille. Toujours là, pour leurs frères, leurs régulières, leurs enfants, faire partie de ce club, c’est faire partie d’un tout.",5.0,1
4150,Le silence des dieux,Belaskri Yahia,"Yahia Belaskri, auteur et journaliste franco-algérien notamment connu pour Les Fils du jour (2015) et Si tu cherches la pluie, elle vient d’en haut (2011) a usé de sa plume en octobre dernier pour un quatorzième roman, Le Silence des dieux publié aux éditions Zulma. Un roman poétique et brutal à la lisière de la parabole biblique.",4.5,1
1138,Jours de colère,Sylvie Germain,"Y avait des forêts, une atmosphère envoûtante, des anges, un zeste de mysticisme et des parfums sylvestres.",3.0,0
2845,Signé poète X,Elizabeth Acevedo,"Xiomara, 16 ans, d’origine Dominicaine, habite à Harlem et elle étouffe.",5.0,1
6185,Xavier Dupont de Ligonnès - La grande enquête,So Press,XDDL,4.0,1
8366,Misséline,Julie Jenner,"Wow… Comment définir l’avalanche de sensations que cette histoire m’a apportée. Tout d’abord, Je n’ai trouvé aucun défaut à ce livre. L’écriture de l’autrice est vraiment magnifique et elle rend sincèrement l’histoire unique et poignante. Ce qui est brillant aussi, c’est le fait que cette écriture s’avère progressive: On a donc un début d’histoire convenable pour un enfant qui grandit doucement pour se transformer en une écriture plus adulte. On évolue ainsi en même temps que Misséline… Le rythme du livre tout comme son contenu était vraiment minutieusement bien construit. Les situations s’enchaînent et ne nous donnent pas spécialement d’aperçu sur ce qui nous attend à la page suivante. D’autant plus que l’autrice a pris des risques en s’engageant dans une construction narrative laborieuse. Je vous recommande chaudement ce livre qui est une véritable pépite et qui mérite selon moi plus de reconnaissance.",5.0,1
6984,"Ne rougis pas, tome 1 : Dans la peau",Lanabellia,Wow. Je crois que ça fait un moment que je ne m’étais pas laissée embarquer émotionnellement à ce point par un roman. C’est un coup de coeur !,5.0,1
7242,Les victorieuses,Laetitia Colombani,"Wow, juste wow.",5.0,1
2061,"Beastars, tome 15",Paru Itagaki,"Wow l'histoire a vraiment pris un tournant bien différent de la trame du début du manga. Et j'adore comment vire l'histoire. C'est vraiment intéressant et captivant. Et le côté sombre me plaît toujours autant. Les personnages sont toujours super bien travaillés et leur rapport si particulier... Je n'arrive même plus à définir clairement qui sont mes personnages favoris. Ils ont tous une profondeur et une histoire qui leur est propre, ce qui les rend attachants.",5.0,1
1312,Serre-moi fort,Claire Favan,"Wow ! Alors là, c'est du tout bon thriller !",5.0,1
3619,"Vampyria, tome 2 : La Cour des miracles",Victor Dixen,"Wouuah ! J'ai adoré ! J'ai trouvé que le rythme était légèrement moins effréné que pour le premier tome. Le premier chapitre commence sur un rythme très fort mais j'ai trouvé que par la suite c'était un peu plus calme. J'ai eu peur de m'ennuyer mais pas du tout, il se passe quand même pleins de choses ! En ce qui concerne les personnages j'ai trouvé que Jeanne avait évolué : elle est moins antipathique et plus réfléchis. J'arrive enfin à m'attacher vraiment à elle. J'aime toujours le personnage de Naoko même si je le trouve un peu effacé dans ce tome. J'ai été déçu qu'on ne parle pas plus de Suraj et Raphaël. Par contre j'ai adoré le nouveau personnage de Lord Sterling et j'ai vraiment hâte d'en apprendre plus sur lui par la suite !! L'intrigue était tout aussi originale, pleine de rebondissements, plus on s'approchait de la fin plus j'étais tenue en haleine. Je me demande ce que peux réserver le prochain tome, j'ai hâte de le savoir.",4.5,1
7506,N'éteins pas la lumière,Bernard Minier,Wouah ! je me suis encore laissée emporter par ce thriller écrit d’une main de maître avec rebondissement sur rebondissements … Bernard Minier confirme sa signature des plus grands polars … hâte de découvrir la suite des aventures du commandant Servaz et Marianne …,5.0,1
4390,"Wonder Woman Rebirth, tome 1",Rucka/Scott,Wonder Woman Rebirth,3.5,0
783,1984 (BD),Fido Nesti,"Winston Smith travaille au Ministère de la Vérité, où il est chargé de réécrire l’Histoire, selon les desiderata du Parti car le Sociang règne sur Londres, Big Brother vous regarde inscrit partout, avec un télécran qui espionne en permanence.",4.0,1
748,Gagner n'est pas jouer,Harlan Coben,"Win ? C'est l'ami de Myron, le personnage récurrent de H. Coben. Il n'est donc pas utile d'avoir lu tout Coben pour celui-ci, et c'est tant mieux. Cet ami donc est un sacré personnage, plein aux as, intelligent, rusé, plutôt prétentieux, mais avec un humour décalé et grinçant fort plaisant aussi. Et il a un passe-temps de riche peu commun : il aime se battre, il a pris le temps d'apprendre nombre de sports de combats. D'habitude, il accompagne Mydor, mais ici, il est directement concerné par un attentat qui aurait été perpétré par une bande de jeunes qu'il doit rechercher des années plus tard pour un vol de tableau de maître, de meurtres et de viols qui touche sa propre famille. C'est alambiqué à souhait et on passe un bon moment : comme la couverture le suppose, tout s'imbrique les uns dans les autres. Le seul bémol : ce titre français à la James Bond qui ne veut rien dire, sans même un lien avec l'histoire ! (c'est un détail qui m'a un peu retenu à le lire un temps, mais c'est un Coben).",3.0,0
6261,Pilu des Bois,Mai K. Nguyen,"Willow vient de perdre sa mère, et est submergé par ses émotions, sa tristesse, sa colère, l’injustice de la situation. Un soir après avoir passé une dure journée à l’école, elle se dispute avec sa soeur et s’enfuit dans la forêt qui est son refuge.",4.5,1
3530,"Pinkerton, tome 1 : Dossier Jesse James  1875",Rémi Guérin,"William et des employés de l'agence Pinkerton se rendent à la ferme de la famille James dans l'optique d'arrêter Jesse et Frank, des hors-la-loi. Nous sommes le 26 janvier 1875, et les deux frères ne sont pas présents, pourtant William va provoquer une mort dans l'optique de justifier son intervention plus que musclée. Résultat: un enfant, le petit-frère, est tuée et la mère gravement blessée.",4.0,1
9379,La Trilogie du Bronx - Intégrale,Will Eisner,"William Erwin Eisner (1917- 2005), est un auteur de bande dessinée américain. Créateur du Spirit ainsi que du concept de «roman graphique» et de ses premières applications aux États-Unis, c'est une figure majeure de la bande dessinée du XXième siècle et l'un de ses plus grands auteurs.",5.0,1
212,Dans l'infinité des déserts,William Atkins,"William Atkins est écrivain et journaliste et c’est de sa fascination pour les grands espaces qu’est né Dans l’infinité des déserts. Dans cet ouvrage paru fin septembre, il nous entraîne en Oman, en Australie, en Egypte, en passant par la Chine, le Kazakhstan et les Etats-Unis à la découverte d’étendues désertiques mythiques telles que le désert de Gobi ou le désert Arabique. Ces déserts, on les connaît pour la plupart, on en a en tout cas entendu parler, on a eu – peut-être – la chance de s’y rendre ou on rêve de les explorer... Personnellement, j’aime les étendues désertiques et je rêve de me rendre au Kazakhstan depuis que j’ai eu la chance de visiter l’Ouzbékistan. Alors, lire cet ouvrage était comme une évidence et j’y ai appris beaucoup de choses. J’ai cependant mis du temps, car les informations sont nombreuses et les chapitres denses. J’ai préféré picorer, petit à petit, afin de mieux apprécier l’ensemble.",3.5,0
4331,Widjigo,Estelle Faye,"Widjigo est un roman d’horreur d’Estelle Faye, dans lequel l’autrice décrit un officier révolutionnaire, Jean Verdier, qui écoute Justinien de Salers, un aristocrate qu’il est chargé d’arrêter, lui raconter son histoire, au cours de laquelle il a tenté de survivre sur l’île de Terre-Neuve avec des compagnons d’infortune disparaissant les uns après les autres. Cette situation d’énonciation met en évidence l’importance des récits pour les individus.",5.0,1
4262,On est juste amis,Whitney G.,"Whitney G. est devenue une de mes ""auteures sûres"". Je sais que ses histoires sont sans prises de tête, sans trop de surprises...mais un délice à lire !",4.0,1
3724,"QuanTika, tome 1 : Vestiges",Laurence Suhner,Whaou ! Quel pied !,4.5,1
1021,Le paradis des vauriens,Wendall Utroi,"Wendall Utroi est la preuve manifeste de l’efficacité des blogs et des réseaux sociaux dans la promotion de la littérature. Si je n’avais pas croisé cet auteur dans des publications élogieuses ou des interviews sur la toile, je ne me serais pas rendu compte que cet homme est extrêmement sympa et bienveillant. Je n’aurais encore moins pensé à me lancer dans son œuvre.",4.5,1
1319,La guerre des mondes,H. G. Wells,"Wells est l'un des pères incontestés de la SF, et nombre de ses ouvrages sont connus et reconnus. C'est le cas de celui-ci, lu il y a bien longtemps, mais qui à mon sens a bien, bien vieilli ... le style n'est plus adéquat avec notre époque, me manque d'épaisseurs des personnages étonne. Il n'en rets pas moins que la trame de l'histoire est passionnante et nouvelle - invasion extra-terrestre.",3.0,0
95,"Grisha, tome 1 : Les orphelins du royaume",Leigh Bardugo,"Well, well, well... j'ai enfin commencé la trilogie Grisha !",4.0,1
5566,Throttled,Lauren Asher,"Well well well, j’ai vraiment apprécié ce roman ! Sincèrement l’univers de F1 était super ! Ça m’a même donné envie de me documenter sur ce sujet en dehors du bouquin.",3.5,0
1838,Appel du pied,Risa Wataya,"Wataya Risa a écrit ce roman a dix neuf ans durant ses vacances d'été et il a été couronné du prix Akutagawa 2003. Autant j'avais beaucoup aimé Install, son premier roman et adoré Pauvre chose, autant celui-ci me laisse sur ma faim. Je l'ai trouvé mou du genou.",2.5,-1
4816,Clapas,Isao Moutte,Waow ! Je suis vraiment surprise par cette BD. Je ne m'attendais pas du tout à ça.,4.5,1
20,Tropique de la violence,Nathacha Appanah,Waouh... Mais comment un livre aussi violent peut-il être aussi poétique ?!!,4.0,1
3461,"Colibri, et après ?",Marie Petit (II),"Waouh ! Quel récit, quel témoignage et quel message d'espoir !",5.0,1
3380,Le bal des psychopathes,Gabriel C.,"Waouh ! Mais quelle merveille ce thriller psycho !!! Un énorme coup de cœur, un véritable chef-d’œuvre, une merveille littéraire ! Je l'ai tellement aimé que je l'ai lu d'une traite, en une soirée (et une partie de la nuit !).",5.0,1
7081,Silver lake,Corinne Guitteaud,Waouh ! J'ai adoré ce roman ! Je ne m'attendais pas à ça et ce fut une véritable bonne surprise.,4.5,1
6439,Le rire des déesses,Ananda Devi,Waouh !,5.0,1
3811,Une chance sur un milliard,Gilles Legardinier,Waouh !,5.0,1
573,Les sorcières de Pendle,Stacey Halls,Waouh !,4.5,1
9241,À vol d'oiseau,Craig Johnson,"Walter Longmire, shérif du comté d'Absaroka, Wyoming, et grand ami des indiens, s'apprête à marier sa fille Cady en terre cheyenne, à ""Crazy Head Springs"", au cœur de la réserve d'où est originaire le futur marié. Au cours d'un repérage en compagnie de son fidèle ami ""Ours debout"", il voit une femme, tenant un enfant dans ses bras, se précipiter du haut d'une falaise. L'enfant est blessé, mais sauf, la femme, elle, tout occupée à protéger son enfant de la chute, est morte sur le coup. Suicide ? Meurtre ? L'enquête est menée par Lolo Song, une jeune cheyenne récemment nommée à la tête de la police tribale de la réserve. Devant son désarroi face à une enquête qui va s'avérer particulièrement délicate, les langues cheyennes se déliant difficilement, et frappé par sa beauté et son courage hors du commun, il va la seconder après avoir réussi à gagner sa confiance. Comme on s'en doute, les préparatifs du mariage sont quelque peu délaissés, au grand dam de Cady et de sa future belle-mère, mais le trio va parvenir, après moult rebondissements, à éclaircir cette étrange affaire. Une plongée au cœur de la cheyennité, au-delà des clichés et des poncifs touristiques, loin, très loin des clameurs de la grande ville. Dépaysement garanti…",5.0,1
9297,Western star,Craig Johnson,"Walt Longmire est un sheriff heureux entouré de sa fille, petite fille, petite amie, vieux amis lors d’un séjour chez sa fille à Cheyenne entre audiences au tribunal et biberonnage sur de canapé.",0.5,-1
4292,"Détox, tome 1",Jim,Wahouuuu!,4.0,1
1744,Le tatoueur d'Auschwitz,Heather Morris,"Wahou, quelle lecture coup de poings.",4.5,1
8571,"Charlotte de Savigny, tome 1 : L'insouciance d'une marquise",Line Gagliano,"Wahou ! Avec ce livre, l’autrice a réussi à me transporter à la fin des temps modernes, où se jouent les prémices de la révolution française, grâce à une écriture descriptive et un vocabulaire adapté à l’époque. J’ai pris plaisir à suivre les aventures de Charlotte, un personnage pour qui j’ai eu beaucoup d’empathie, une jeune femme prise au piège, sans contrôle sur sa vie. Elle va vivre des événements durs et marquants et j’ai vraiment eu de la peine pour elle. Je me suis un peu moins attaché au héros masculin qui reste assez secret et mystérieux, mais plaisant tout de même.",4.5,1
2409,La mort selon Turner,Tim Willocks,"Wah !! Quel bouquin nous avons là M Willocks !! Du noir, très très noir, extrêmement bien construit. Un soir de beuverie de jeunes Afrikaners qui étaient venus s'encanailler dans les bas fonds du Cap, renversent une gamine noire du township... Au volant Dirk Le Roux ne se rend même pas compte de ce qu'il a fait et laisse la jeune fille agoniser... D'ailleurs qui pourrait bien s'en préoccuper ? Dirk et ses amis rentrent se réfugier chez Maman, Margot Le Roux qui a fait fortune dans les mines et qui est impitoyable avec quiconque s'en prendrait à sa famille... Mais le capitaine de police Turner est sur les traces de Dirk ... Justicier noir, incorruptible, lui aussi est impitoyable et la confrontation inévitable se terminera en bain de sang...",5.0,1
4976,Je connais ton secret,S. K. Tremayne,"waaaah ca faisait longtemps que j'avais pas lu un aussi bon suspens qui me tiennent en haleine comme ça !! il est vraiment bien construit....la tension monte, ça fait bien flipper !!! d'ailleurs le phénomène a déjà commencé sur ce sujet de notre époque ou tout est connecté....je connaissais pas l'auteur mais je vais voir si j'en vois d'autre pour voir si tout aussi bien.",5.0,1
6857,Le petit geai bleu,Jo Witek / Emmanuell,"Vraiment une très belle proposition pour les tout-petits, un éveil à la langue et à ses sons avec des jeux sur les mots et les sonorités.",4.0,1
8593,Le petit train,Vincent Bourgeau,"Vraiment trop choupi ce petit livre, aucun texte ce qui permet facilement aux enfants de 3 - 4 ans de le lire et relire en autonomie.",5.0,1
5327,Le village des ténèbres,David Coulon,"Vraiment sympathique ce petit bouquin. Au début, je m'attendais à autre chose, j'ai donc eu de la peine à me mettre dans l'histoire. Le livre auquel je m'attendais était mieux dans ma tête que sur papier... Mais une fois cette pensée envolée, c'était une petite merveille. J'ai bien aimé les personnages, l'intrigue et surtout la fin.",4.0,1
9203,The great inspirational quotes book: 200 inspirational and motivational quotes from some of the most successful people in history,Alvane Marae,"Vraiment excellent, une grande diversité de citations. Livre à ouvrir seulement si vous avez du temps devant vous, un ouvrage riche et fort bien conçu que je conseille si vous recherchez le top dans ce genre.",5.0,1
7015,"Aliénor Mandragore, tome 1 : Merlin est mort, vive Merlin !",Séverine Gauthier,"Vraiment c'était une bd jeunesse toute douce et pleine d'humour. Les dessins, l'histoire, les personnages étaient géniaux.",3.5,0
324,Voyage dans la Terre d’en Bas,Yulka,"Voyage dans la Terre d'en bas est un bel objet livre qui peut faire un joli cadeau sous le sapin. La couverture est toute douce, le format 23/16 cm fait la place à une belle présentation. Chaque page est illustrée de dessins à la fois naïfs et originaux, la numérotation des pages et les chapitres sont présentés de façon très sympathique. Le texte est aéré et les chapitres courts, cela donne une lecture  très agréable.",5.0,1
6027,Vox,Christina Dalcher,Vox… que dire de Vox…? Beaucoup trop de choses ! Beaucoup plus que je ne pourrai en dire si je vivais dans cette dystopie terrifiante.,4.5,1
9104,"Paris-Londres: Ou Londres-Paris, c'est comme vous voulez.",Jeanne Malysa,"Vous vous rappelez ce théâtre de marionnettes que vous avez admiré pendant des heures dans la vitrine brillante quand vous étiez minot ? C'était lumineux, joyeux, couleurs vibrantes, cliquetis de musique et d'automates, et toutes ces danses, et tous ces personnages, ces lumières, ce décor...",5.0,1
7691,Criminal Loft,Armelle Carbonel,"Vous voulez savoir comment je suis tombée sur ce bouquin ? Ou du moins comment je me suis retrouvée prisonnière de Waverly Hills, cet endroit lugubre où huit meurtriers névrosés se sont amusés à me mener en bateau le temps d'un thriller ? Et bien c'est simple: tout a commencé quand j'ai rencontré l'auteure en chair et en os. Si Si !!! Armelle Carbonnel en personne !",5.0,1
1144,Lokis,P. Merimee,"Vous prenez un professeur de linguistique très sérieux et extrêmement posé, exclusivement intéressé par ses recherches en langue jomaïtique, vulgairement appelée jmoude et vous le plongez dans une ambiance slave tout ce qu'il y a d'exotique avec légendes terrifiantes, une vieille aristocrate folle, un comte affable et séduisant, presque trop aimable, au regard étrange, une sorcière accompagnée de son inséparable serpent, une forêt lituanienne profonde et inquiétante, enfin une jeune fille mutine et évaporée ""folâtre comme une chatte et blanche comme la crème"".",3.5,0
2085,L'innocence et la loi,Michael Connelly,"Vous préférez Harry Bosch ou Mickey Haller ? Le premier, sans doute, flic tout cabossé et profondément humain alors que le second, retors comme tout bon avocat, apparait moins sympathique, peut-être aussi parce que Michael Connelly lui a consacré assez peu d'ouvrages. Dans L'innocence et la loi, drôle de titre qui s'explique par le fait que la justice ne reconnait pas des innocents mais des non-coupables, nuance importante, dans son dernier livre, donc, l'auteur n'accorde qu'un strapontin à Bosch, réduit pour une fois à l'état de faire-valoir de son demi-frère (Haller), lequel est tout simplement accusé de l'assassinat d'un ancien client et escroc notoire. Un coup monté, c'est une évidence, mais encore faut-il le prouver. Dans un bon polar, il faut un méchant de haute volée et c'est l'avocate de l'accusation, une certaine Berg qui va remplir cet office, avant et pendant le procès, de par son acharnement et sa mauvaise foi, ne reculant devant aucun coup procédural (Haller fait pareil mais c'est lui le héros). Roman de prétoire, L'innocence et la loi est conduit de manière époustouflante par un écrivain comme toujours très documenté et qui a l'art et la manière de nous passionner sans temps morts, en nous montrant une cour de justice comme une scène de théâtre ou un grand échiquier où mettre mat l'adversaire requiert ruse et perfidie. Et si le dénouement abrupt du livre est plutôt frustrant, il n'en est pas moins plausible, démontrant, s'il en était besoin, que des forces supérieures (ici le FBI) sont capables d'interférer dans le cours de la justice, d'une manière que chacun sera à même de qualifier. Mais c'est en nous mettant dans la peau d'un présumé coupable, que l'on sait innocent, et dans son combat harassant vers la vérité, que Connelly scotche le lecteur et ne le libère que dans les dernières lignes. Ouf !",4.0,1
1092,L'Arbre-Monde,Richard Powers,"Vous ouvrez le livre de Richard Powers : entendez-vous le bruissement des feuilles, sentez-vous ce parfum d'humus, levez les yeux vers la canopée et envolez-vous pour suivre les oiseaux hôtes, prolongements de ces branches....",5.0,1
1964,L'empathie,Antoine Renand,Vous ne dormirez plus jamais la fenêtre ouverte...,4.0,1
4874,Tu fais quoi pour Noël ? Je t'évite !,Juliette Bonte,"Vous l'avez compris en lisant le synopsis, cette romance est une ""Enemies To Lovers"" qui nous emporte en Laponie au milieu d'une bande d'amis touchante et drôle. J'ai pris plaisir à suivre la relation cataclysmique de Charlie et Blade, et vu la haine que partageaient nos deux protagonistes je me suis longtemps demandée comment l'auteure aller réussir à inverser la dynamique. J'ai aimé l'ambiance à Chicago, j'ai vraiment bien visualisé les paysages blancs de la Laponie et j'ai été touchée par le groupe d'amis vraiment attendrissant. Une belle romance de Noël que je vous conseille, une plume fluide avec des chapitres courts et dynamiques, une alternance de point de vue enrichissant et une belle évasion. Encore une fois Juliette Bonte démontre son talent à nous conter de belles romances, une valeur sûre.",4.0,1
2794,Vous faites quoi pour Noël ?,Carène Ponte,Vous faites quoi pour Noël? De Carène Ponte,5.0,1
4840,Typo & Graillon,Barbora Klárová,Vous êtes-vous parfois demandé pourquoi les choses s’abîment même quand vous ne les utilisez pas ? Ou encore d’où sort cette coquille dans le texte que vous venez d’imprimer et que vous aviez pourtant relu trois fois ? La réponse est à la fois plus simple et plus complexe que toutes celles que vous avez pu imaginer : c’est la faute des lutins entropiques. Leur boulot c’est de faire se dégrader… tout ce qui leur passe sous la main. Ce sont les mites ultimes de l’univers en résumé. Ils œuvrent avec zèle car ils croient en l’absolue nécessité de la dégradation.,5.0,1
5039,Escape Game : Odyssée,Jérôme Léon,"Vous êtes Ulysse, et en quittant Troie une fois la guerre difficilement achevée, vous vivez les mésaventures et les colères des dieux de l'Olympe qui jalonneront votre long parcours pour Ithaque. le sort, le mauvais, s'acharnera sur vous surtout si vous ne trouvez pas les codes et les astuces pour vite vous extirper de ces pièges tendus.",5.0,1
